;Distances;1;4;10;20;30
55;11.7;0.313715832;0.313227335;0.339706717;0.353221443;0.396578866
56;11.917;0.316353967;0.314054423;0.343661465;0.362960072;0.405659664
57;12.133;0.316098098;0.317935588;0.33942584;0.367431266;0.406927389
58;12.35;0.315924378;0.317019638;0.33993844;0.366392946;0.406755623
59;12.567;0.315277974;0.316967689;0.340618163;0.367434183;0.422168963
60;12.783;0.319359743;0.322356752;0.346902786;0.37219704;0.433844493
61;13;0.322735856;0.32198217;0.350951628;0.372348705;0.436411863
62;13.217;0.330182964;0.325889309;0.351962786;0.380306731;0.445913716
63;13.433;0.335036378;0.332531992;0.35189678;0.397196938;0.461352897
64;13.65;0.334460001;0.340390017;0.357990407;0.407620975;0.475249225
65;13.867;0.332804938;0.339165106;0.365246865;0.425908248;0.492208459
66;14.083;0.332879006;0.338179435;0.366309984;0.444170729;0.509281698
67;14.3;0.332787432;0.342100245;0.368461502;0.45774181;0.517246777
68;14.517;0.333217021;0.344094827;0.366092304;0.474709308;0.535975354
69;14.733;0.332550417;0.349016346;0.368205904;0.479550914;0.560879907
70;14.95;0.337196443;0.34889741;0.373636661;0.484213148;0.582539147
71;15.167;0.342025617;0.350417612;0.370662174;0.498866299;0.599249093
72;15.383;0.340428461;0.352935789;0.374590239;0.503655406;0.610027791
73;15.6;0.338587557;0.358290675;0.39117041;0.504558103;0.618409365
74;15.817;0.34266798;0.362484903;0.406412201;0.517214821;0.635370119
75;16.033;0.34690327;0.366184245;0.422691834;0.5389933;0.641419931
76;16.25;0.348771108;0.370290979;0.44186169;0.544741979;0.645160783
77;16.467;0.349398658;0.38312794;0.454145847;0.544874685;0.665547738
78;16.683;0.352133753;0.389465763;0.461032952;0.558546391;0.675919061
79;16.9;0.361056816;0.395612193;0.467036698;0.571010611;0.678031935
80;17.117;0.366067791;0.406633661;0.481171834;0.571468522;0.68671752
81;17.333;0.368386764;0.415303737;0.500580437;0.568566474;0.699776298
82;17.55;0.364586449;0.421905408;0.510319848;0.585886884;0.705804829
83;17.767;0.37194737;0.421865762;0.511031871;0.602861673;0.707241279
84;17.983;0.380599752;0.428665661;0.519493291;0.614154866;0.71807926
85;18.2;0.390975877;0.445456243;0.545371896;0.623176004;0.732314559
86;18.417;0.396157879;0.464870268;0.558582947;0.641289737;0.740764535
87;18.633;0.391160371;0.482729913;0.561790562;0.646447798;0.737268412
88;18.85;0.395219247;0.491091027;0.573571949;0.65794953;0.728435383
