Distance_(microns);Gray_Value_actin;Gray_Value_mito
24.315;1.581669981;0.654938001
24.381;1.628733591;0.643432428
24.447;1.708398581;0.599088511
24.513;1.848119476;0.595806992
24.579;1.934691086;0.640434497
24.644;1.91713991;0.655806128
24.71;1.849035413;0.647888812
24.776;1.767231388;0.600957878
24.842;1.707970775;0.5633159
24.908;1.647344924;0.547012479
24.974;1.613806806;0.575978976
25.04;1.607937462;0.665367098
25.106;1.660068885;0.773032183
25.172;1.72727894;0.836596426
25.237;1.769057714;0.844363267
25.303;1.749243391;0.808874244
25.369;1.732519401;0.799365362
25.435;1.744929267;0.789596042
25.501;1.797012848;0.80188293
25.567;1.813335379;0.830826277
25.633;1.790325332;0.865991199
25.699;1.778425783;0.913987036
25.765;1.81892391;0.960703832
25.83;1.864482916;0.962926237
25.896;1.856126468;0.892052366
25.962;1.831865588;0.801362054
26.028;1.823199899;0.776823003
26.094;1.88199041;0.832788243
26.16;1.962054086;0.912152395
26.226;1.994138215;0.953000654
26.292;2.005012969;0.930498808
26.358;2.027894743;0.862669168
26.424;2.023764361;0.801969742
26.489;1.949174117;0.784751894
26.555;1.850098343;0.757654763
26.621;1.798305976;0.766683282
26.687;1.790841197;0.88948271
26.753;1.758169093;1.111491669
26.819;1.615147776;1.326810263
26.885;1.384556401;1.409403846
26.951;1.185176901;1.367820572
27.017;1.063715109;1.280492805
27.082;1.01447017;1.204537498
27.148;1.011292473;1.281499832
27.214;1.005032764;1.489230998
27.28;0.985027072;1.670721585
27.346;0.93249627;1.662613281
27.412;0.883898241;1.541636919
27.478;0.860188587;1.424572915
27.544;0.844094173;1.344479537
27.61;0.821275495;1.318661446
27.676;0.80133082;1.352564691
27.741;0.785067918;1.342436545
27.807;0.744753533;1.307560998
27.873;0.666250624;1.298532479
27.939;0.582370661;1.357657701
28.005;0.515363762;1.387046687
28.071;0.461082904;1.414004918
28.137;0.414804184;1.472204138
28.203;0.372095607;1.569955215
28.269;0.343382623;1.645418583
28.334;0.325542314;1.627500446
28.4;0.311837933;1.574816725
28.466;0.29773556;1.5327936
28.532;0.291864136;1.494468696
28.598;0.298960738;1.474970569
28.664;0.311742942;1.440882123
28.73;0.309011079;1.338431587
28.796;0.29659636;1.172509407
28.862;0.28102197;1.029598375
28.928;0.275642836;0.9509866
28.993;0.271853591;0.884725376
29.059;0.274444006;0.827926733
29.125;0.268833288;0.812317814
29.191;0.266151348;0.824193788
29.257;0.259458285;0.862026754
29.323;0.250467407;0.9209552
29.389;0.246495113;0.942363207
29.455;0.238835497;0.915167688
29.521;0.231173109;0.848854377
29.586;0.218542752;0.818232651
29.652;0.212544442;0.821085894
29.718;0.206564853;0.81674526
29.784;0.205464481;0.819407516
29.85;0.208271227;0.841440574
29.916;0.210928899;0.870291321
29.982;0.213302984;0.859254536
30.048;0.214892179;0.814447618
