Distance_(microns);mito;actin
8.8298;0.98095373;4.649803516
8.8957;0.923822649;3.9399064
8.9616;0.87369377;3.299765038
9.0275;0.793143572;2.795240737
9.0934;0.657747052;2.427994285
9.1593;0.515111651;2.167947279
9.2252;0.406344208;1.981187384
9.2911;0.336681243;1.896190041
9.357;0.297072476;1.878864063
9.4229;0.283244237;1.864336545
9.4888;0.278858952;1.82437007
9.5546;0.276455853;1.725625175
9.6205;0.268168054;1.614286537
9.6864;0.255445214;1.513524491
9.7523;0.240179419;1.462608923
9.8182;0.224440266;1.454459635
9.8841;0.211682462;1.461746927
9.95;0.212345432;1.460291889
10.0159;0.225460944;1.472080117
10.0818;0.242044611;1.462292903
10.1477;0.252286356;1.42363892
10.2136;0.268911711;1.391044458
10.2795;0.308442481;1.375466677
10.3454;0.353107572;1.38327305
10.4113;0.37155643;1.414393647
10.4772;0.369383287;1.453759011
10.5431;0.398547249;1.493713384
10.609;0.46892025;1.551147037
10.6748;0.543273762;1.647812923
10.7407;0.629831034;1.830759058
10.8066;0.746774661;2.199656884
10.8725;0.888607236;2.717162221
10.9384;0.983775051;3.286532531
11.0043;1.007663492;3.763329081
11.0702;0.986966183;4.149110456
11.1361;0.947144943;4.610797205
11.202;0.877698486;5.179403687
11.2679;0.823656335;5.706966536
11.3338;0.857700456;6.008164757
11.3997;0.956688754;6.125533331
11.4656;1.075111625;6.11402347
11.5315;1.170296922;5.962413095
11.5974;1.196123172;5.851036803
11.6633;1.188843948;6.022541661
11.7292;1.198592164;6.509738639
11.795;1.264902625;6.952991322
11.8609;1.380081917;7.069893261
11.9268;1.464315432;6.829062975
11.9927;1.46701438;6.210456711
12.0586;1.442991462;5.476165522
12.1245;1.430315688;4.859459414
12.1904;1.433388481;4.295846052
12.2563;1.46799068;3.770227736
12.3222;1.514057019;3.491249099
12.3881;1.554240001;3.647311998
12.454;1.607456465;4.068607325
12.5199;1.706959809;4.317514282
12.5858;1.874127794;4.100174386
12.6517;2.027939553;3.591166632
12.7176;2.088969113;3.12779489
12.7835;2.053811525;2.865565327
12.8494;1.997523613;2.803185621
12.9152;1.949137552;3.003765686
12.9811;1.869024403;3.499690202
13.047;1.694503233;4.241270028
13.1129;1.424810212;5.072318547
13.1788;1.17532904;5.765398007
13.2447;1.053187889;6.05391642
13.3106;1.072968066;6.255678535
13.3765;1.205414167;6.837768996
13.4424;1.359174825;7.672209017
13.5083;1.437246618;7.819091192
13.5742;1.460790798;7.012822695
13.6401;1.503062204;5.944885402
13.706;1.571229787;5.196175621
13.7719;1.639869384;4.708096476
13.8378;1.700398691;4.242332394
13.9037;1.726495239;3.787304932
13.9696;1.674078911;3.459263817
14.0354;1.603978898;3.251352082
14.1013;1.618681235;3.062597897
14.1672;1.71786318;2.808102089
14.2331;1.747835347;2.53199184
14.299;1.644538415;2.336827152
14.3649;1.523352048;2.269005173
14.4308;1.476438507;2.428598086
14.4967;1.535129517;2.964904609
14.5626;1.597784901;4.011157535
14.6285;1.621064162;5.430079012
14.6944;1.611911678;6.577974806
14.7603;1.594237406;6.948690757
14.8262;1.555548459;6.666707911
14.8921;1.562043684;6.17141678
14.958;1.64401799;5.774836926
15.0239;1.752859396;5.412551319
15.0898;1.800840682;4.987188072
15.1556;1.769093423;4.539562208
15.2215;1.735345151;4.125105021
15.2874;1.717841664;4.007986574
15.3533;1.751938231;4.263492302
15.4192;1.815908797;4.698135787
15.4851;1.86731117;4.938453717
15.551;1.906742428;4.804060393
15.6169;1.930647006;4.519630071
15.6828;1.938910599;4.443642668
15.7487;1.934479592;4.692647793
15.8146;1.912402552;5.097101258
15.8805;1.882689925;5.366158203
15.9464;1.838772525;5.244085635
16.0123;1.748355771;4.63463051
16.0782;1.633555703;3.781351648
16.1441;1.616742081;3.095989806
16.21;1.674600681;2.795938671
16.2758;1.680392593;2.905132406
16.3417;1.584002384;3.246611778
16.4076;1.47422771;3.771774218
16.4735;1.538841074;4.371002389
16.5394;1.674797017;4.82580393
16.6053;1.676183472;5.168852645
16.6712;1.491978634;5.630226063
16.7371;1.308923572;6.070531016
16.803;1.257384032;6.066489991
16.8689;1.334354461;5.711319547
16.9348;1.48778834;5.478331942
17.0007;1.705496703;5.679016899
17.0666;1.85617112;6.014633086
17.1325;1.846445765;6.421134632
17.1984;1.646796279;6.78886251
17.2643;1.449150495;7.082687374
17.3302;1.303611743;7.260886482
17.396;1.183844105;7.419164213
17.4619;1.105117411;7.286434366
17.5278;1.151809065;6.834158297
17.5937;1.276575202;6.167253382
17.6596;1.326613982;5.612424037
17.7255;1.241714807;4.855258362
17.7914;1.148046407;3.999298035
17.8573;1.131804312;3.25727578
17.9232;1.132328771;2.790208619
17.9891;1.045208041;2.499147251
18.055;0.866067596;2.323863598
18.1209;0.70144391;2.31960741
18.1868;0.637648164;2.526487709
18.2527;0.651149625;2.895778207
18.3186;0.66889786;3.291145082
18.3845;0.642366952;3.561932742
18.4504;0.541712487;3.551989535
18.5162;0.439360927;3.317318282
18.5821;0.38688005;3.074680629
18.648;0.371220238;2.96792899
18.7139;0.366990946;2.942187461
18.7798;0.377953487;2.787598426
